DateTime,Temperature,Humidity,CO2,pH,EC,"
"
2025-11-10 00:00:00.133636,25.768,69.962,590.133,5.592,1902.489,"
"
2025-11-10 00:00:00.870423,25.768,69.973,592.520,5.592,1902.489,"
"
2025-11-10 00:01:00.135724,25.660,68.815,590.061,5.533,1905.382,"
"
2025-11-10 00:02:00.142754,25.768,68.743,589.120,5.494,1902.489,"
"
2025-11-10 00:03:00.118534,25.768,68.750,590.061,5.455,1902.489,"
"
2025-11-10 00:04:00.119590,25.768,68.746,590.061,5.424,1902.489,"
"
2025-11-10 00:05:00.124390,25.786,69.350,590.061,5.403,1899.595,"
"
2025-11-10 00:05:00.867444,25.911,69.354,590.061,5.403,1902.489,"
"
2025-11-10 00:06:00.130004,25.916,69.455,592.520,5.384,1902.489,"
"
2025-11-10 00:07:00.126282,25.781,69.661,592.520,5.374,1902.489,"
"
2025-11-10 00:08:00.141700,25.799,68.927,590.061,5.354,1902.489,"
"
2025-11-10 00:09:00.147679,25.846,68.822,590.061,5.342,1899.595,"
"
2025-11-10 00:09:00.904519,25.916,68.826,592.520,5.342,1899.595,"
"
2025-11-10 00:10:00.134009,25.916,69.455,590.061,5.322,1902.489,"
"
2025-11-10 00:11:00.128311,25.916,70.446,590.061,5.504,1899.595,"
"
2025-11-10 00:11:00.868577,25.916,70.446,591.291,5.504,1902.489,"
"
2025-11-10 00:12:00.142048,25.916,69.358,590.061,5.694,1902.489,"
"
2025-11-10 00:13:00.116393,25.916,69.459,594.835,5.885,1899.595,"
"
2025-11-10 00:14:00.133299,26.063,69.868,597.439,6.003,1902.489,"
"
2025-11-10 00:15:00.148963,26.020,70.146,596.209,6.083,1902.489,"
"
2025-11-10 00:16:00.147373,25.916,69.560,592.520,6.155,1902.489,"
"
2025-11-10 00:17:00.126843,25.916,69.557,590.061,6.279,1902.489,"
"
2025-11-10 00:18:00.195058,25.916,69.235,590.061,6.287,1902.489,"
"
2025-11-10 00:18:00.195488,25.916,69.235,590.061,6.287,1902.489,"
"
2025-11-10 00:19:00.128043,25.916,69.452,587.529,6.360,1899.595,"
"
2025-11-10 00:20:00.128147,26.063,69.354,585.069,6.347,1902.489,"
"
2025-11-10 00:21:00.124663,25.916,69.868,582.610,6.319,1899.595,"
"
2025-11-10 00:22:00.132537,25.916,69.231,582.610,6.340,1902.489,"
"
2025-11-10 00:23:00.143824,25.951,69.560,580.151,6.368,1902.489,"
"
