DateTime,Temperature,Humidity,CO2,pH,EC,"
"
2025-10-20 00:00:00.149369,25.911,59.476,520.906,6.224,2050.058,"
"
2025-10-20 00:01:00.147675,25.907,59.682,520.327,6.239,2048.611,"
"
2025-10-20 00:02:00.142593,25.916,59.086,518.446,6.289,2050.058,"
"
2025-10-20 00:03:00.365690,25.916,58.435,518.446,6.299,2048.611,"
"
2025-10-20 00:04:00.353690,25.877,58.955,516.927,6.289,2048.611,"
"
2025-10-20 00:05:00.125481,26.063,64.363,518.446,6.287,2050.058,"
"
2025-10-20 00:06:00.119949,26.050,67.755,520.906,6.287,2048.611,"
"
2025-10-20 00:07:00.377291,25.916,67.191,540.654,6.289,2050.058,"
"
2025-10-20 00:08:00.330982,25.751,66.565,560.402,6.289,2050.058,"
"
2025-10-20 00:09:00.123483,25.473,66.663,579.861,6.289,2048.611,"
"
2025-10-20 00:10:00.115731,25.326,66.989,594.980,6.287,2050.058,"
"
2025-10-20 00:11:00.128410,25.178,66.768,607.277,6.289,2050.058,"
"
2025-10-20 00:12:00.354777,25.030,66.565,614.728,6.309,2048.611,"
"
2025-10-20 00:13:00.375559,25.030,66.366,622.107,6.319,2050.058,"
"
2025-10-20 00:14:00.350379,24.878,66.182,628.328,6.279,2048.611,"
"
2025-10-20 00:15:00.135744,24.740,66.088,629.268,6.247,2048.611,"
"
2025-10-20 00:16:00.143122,24.731,66.182,632.017,6.260,2050.058,"
"
2025-10-20 00:17:00.362023,24.583,66.092,634.476,5.915,2050.058,"
"
2025-10-20 00:18:00.125627,24.583,65.889,636.936,5.613,2050.058,"
"
2025-10-20 00:19:00.697299,24.436,65.448,636.936,5.524,2050.058,"
"
2025-10-20 00:20:00.358269,24.436,65.046,638.889,5.443,2048.611,"
"
2025-10-20 00:21:00.195482,24.319,64.952,639.251,5.394,2050.058,"
"
2025-10-20 00:22:00.166636,24.401,64.858,639.540,5.383,2050.058,"
"
2025-10-20 00:23:00.104061,24.288,64.370,639.395,5.441,2050.058,"
"
2025-10-20 00:24:00.134068,24.288,63.947,639.395,5.484,2050.058,"
"
2025-10-20 00:25:00.118794,24.141,63.766,639.395,5.514,2050.058,"
"
2025-10-20 00:26:00.117605,24.288,63.755,641.276,5.524,2048.611,"
"
2025-10-20 00:27:01.118990,24.141,63.487,639.395,5.494,2048.611,"
"
2025-10-20 00:28:00.120937,23.993,63.281,639.178,5.504,2050.058,"
"
2025-10-20 00:29:00.119319,23.993,62.963,639.395,5.414,2050.058,"
"
2025-10-20 00:30:00.430987,23.993,62.959,639.395,5.441,2050.058,"
"
2025-10-20 00:31:00.147428,24.132,62.865,641.493,5.462,2050.058,"
"
2025-10-20 00:32:00.169733,23.845,62.554,636.936,5.476,2050.058,"
"
2025-10-20 00:33:00.213191,23.776,62.337,636.936,5.494,2050.058,"
"
2025-10-20 00:34:00.118518,23.837,62.254,636.936,5.514,2050.058,"
"
2025-10-20 00:35:00.146209,23.845,62.171,634.910,5.514,2050.058,"
"
2025-10-20 00:36:00.118114,23.694,61.954,634.476,5.514,2050.058,"
"
2025-10-20 00:37:00.134655,23.694,61.740,632.017,5.514,2050.058,"
"
2025-10-20 00:38:00.160159,23.546,61.639,632.017,5.514,2050.058,"
"
2025-10-20 00:39:00.141984,23.689,61.542,633.753,5.563,2048.611,"
"
2025-10-20 00:40:00.144953,23.546,61.552,632.017,5.603,2048.611,"
"
2025-10-20 00:41:00.126024,23.546,61.147,630.787,5.603,2050.058,"
"
2025-10-20 00:42:00.129750,23.533,61.032,629.557,5.552,2054.398,"
"
2025-10-20 00:43:00.867261,23.655,60.854,633.536,5.552,2054.398,"
"
