DateTime,Temperature,Humidity,CO2,pH,EC,"
"
2025-10-14 09:44:00.150842,24.714,62.156,543.113,4.118,2092.014,"
"
2025-10-14 09:45:00.103680,24.614,61.957,543.113,4.118,2090.567,"
"
2025-10-14 09:46:00.437033,24.583,61.549,543.113,4.118,2092.014,"
"
2025-10-14 09:47:00.105592,24.583,61.447,545.573,4.105,2092.014,"
"
2025-10-14 09:48:00.104158,24.575,61.458,545.284,4.118,2092.014,"
"
2025-10-14 09:49:00.104357,24.436,61.252,542.173,4.118,2092.014,"
"
2025-10-14 09:50:00.136517,24.436,61.039,543.113,4.119,2090.567,"
"
2025-10-14 09:51:00.119512,24.436,60.966,543.113,4.118,2090.567,"
"
2025-10-14 09:52:00.166441,24.436,60.858,543.258,4.118,2092.014,"
"
2025-10-14 09:53:00.114469,24.436,60.663,544.054,4.118,2092.014,"
"
2025-10-14 09:54:00.120979,24.436,60.460,545.139,4.118,2090.567,"
"
2025-10-14 09:55:00.120993,24.423,60.370,545.573,4.118,2090.567,"
"
2025-10-14 09:56:00.115822,24.444,60.359,547.960,4.118,2092.014,"
"
2025-10-14 09:57:00.226490,24.436,60.171,548.032,4.118,2090.567,"
"
2025-10-14 09:58:00.197423,24.401,60.156,544.343,4.118,2090.567,"
"
2025-10-14 09:59:00.125870,24.214,59.867,545.573,4.118,2092.014,"
"
2025-10-14 10:00:00.100976,24.141,59.672,543.258,4.118,2092.014,"
"
2025-10-14 10:01:00.112715,24.141,59.719,545.573,4.118,2092.014,"
"
2025-10-14 10:02:00.101673,23.993,59.635,545.573,4.118,2092.014,"
"
2025-10-14 10:03:00.121851,23.993,59.639,546.803,4.118,2092.014,"
"
2025-10-14 10:04:00.113111,23.997,59.534,548.032,4.118,2092.014,"
"
2025-10-14 10:05:00.116129,23.993,59.433,550.492,4.128,2090.567,"
"
2025-10-14 10:06:00.109315,23.993,59.635,548.032,4.118,2092.014,"
"
2025-10-14 10:07:00.109830,23.845,59.534,548.032,4.118,2092.014,"
"
2025-10-14 10:08:00.113028,23.845,59.643,548.105,4.127,2092.014,"
"
2025-10-14 10:09:00.109737,23.845,59.538,548.032,4.118,2092.014,"
"
2025-10-14 10:10:00.106480,23.845,59.534,549.913,4.117,2093.461,"
"
2025-10-14 10:11:01.118493,23.837,59.440,548.466,4.118,2092.014,"
"
2025-10-14 10:12:00.107609,23.772,59.639,548.032,4.118,2092.014,"
"
2025-10-14 10:13:00.217223,23.694,59.332,550.492,4.118,2092.014,"
"
2025-10-14 10:14:00.331745,23.694,59.436,550.637,4.127,2092.014,"
"
2025-10-14 10:15:00.121851,23.546,59.440,555.483,4.128,2092.014,"
"
2025-10-14 10:16:00.172609,23.694,59.534,555.483,4.138,2092.014,"
"
2025-10-14 10:17:00.115469,23.581,59.436,560.402,4.138,2092.014,"
"
2025-10-14 10:18:00.122526,23.546,59.129,562.862,4.138,2093.461,"
"
2025-10-14 10:19:00.111193,23.546,59.230,562.862,4.138,2092.014,"
"
2025-10-14 10:20:00.113132,23.472,59.534,562.862,4.138,2092.014,"
"
2025-10-14 10:21:00.126427,23.398,59.328,562.862,4.138,2090.567,"
"
2025-10-14 10:22:00.274036,23.411,58.594,562.862,4.118,2094.907,"
"
2025-10-14 10:23:00.111720,23.398,58.500,565.321,4.118,2094.907,"
"
2025-10-14 10:24:00.110014,23.325,58.319,567.781,4.118,2094.907,"
"
2025-10-14 10:25:00.978615,23.251,58.388,567.781,4.118,2092.014,"
"
2025-10-14 10:26:00.157938,23.251,58.319,570.312,4.118,2092.014,"
"
2025-10-14 10:27:00.120455,23.103,58.395,569.806,4.118,2092.014,"
"
2025-10-14 10:35:00.114846,22.956,59.234,574.219,4.138,2092.014,"
"
2025-10-14 10:36:00.435086,23.103,59.129,575.376,4.138,2092.014,"
"
2025-10-14 10:37:00.116512,22.960,59.440,577.691,4.138,2087.674,"
"
2025-10-14 10:38:00.105569,22.964,59.230,580.151,4.138,2092.014,"
"
2025-10-14 10:39:00.156025,23.103,59.234,577.691,4.138,2092.014,"
"
2025-10-14 10:40:00.115762,22.882,59.230,577.691,4.137,2090.567,"
"
2025-10-14 10:41:00.107011,22.956,59.332,580.151,4.138,2092.014,"
"
2025-10-14 10:42:00.112584,23.099,59.227,580.078,4.138,2092.014,"
"
2025-10-14 10:43:00.117633,22.865,58.923,577.691,4.138,2092.014,"
"
2025-10-14 10:44:00.125053,22.808,59.635,577.691,4.138,2092.014,"
"
2025-10-14 10:45:00.161006,22.808,59.538,577.691,4.138,2092.014,"
"
2025-10-14 10:46:00.115366,22.882,59.324,577.691,4.137,2092.014,"
"
2025-10-14 10:47:00.100778,22.951,59.223,577.691,4.138,2092.014,"
"
2025-10-14 10:48:00.106588,22.808,59.227,580.151,4.137,2093.461,"
"
2025-10-14 10:49:00.107821,22.808,59.227,582.176,4.137,2092.014,"
"
2025-10-14 10:50:00.103996,22.812,59.227,582.755,4.137,2092.014,"
"
2025-10-14 10:51:00.106038,22.956,59.129,582.610,4.137,2092.014,"
"
2025-10-14 10:52:00.116557,22.865,59.125,582.610,4.138,2092.014,"
"
2025-10-14 10:53:00.118090,22.808,58.923,585.069,4.137,2092.014,"
"
2025-10-14 10:54:00.124881,22.951,59.028,585.069,4.137,2092.014,"
"
2025-10-14 10:55:00.187856,22.808,58.800,587.457,4.137,2093.461,"
"
2025-10-14 10:56:00.115096,22.808,58.923,585.069,4.138,2092.014,"
"
2025-10-14 10:57:00.174131,22.808,59.125,587.529,4.137,2090.567,"
"
2025-10-14 10:58:00.109893,22.808,59.125,589.554,4.107,2087.674,"
"
2025-10-14 10:59:00.118526,22.808,58.919,587.529,4.096,2090.567,"
"
2025-10-14 11:00:00.147688,22.956,59.028,592.520,4.107,2092.014,"
"
2025-10-14 11:01:00.311509,22.808,59.024,594.980,4.107,2087.674,"
"
2025-10-14 11:02:00.102008,22.808,58.919,596.861,4.107,2092.014,"
"
2025-10-14 11:03:00.109846,22.921,58.749,595.486,4.107,2090.567,"
"
2025-10-14 11:04:00.133397,22.808,58.804,599.899,4.107,2090.567,"
"
2025-10-14 11:05:00.108259,22.808,58.691,599.899,4.107,2092.014,"
"
2025-10-14 11:06:00.113643,22.808,58.590,602.358,4.107,2092.014,"
"
2025-10-14 11:07:00.142278,22.808,58.793,602.358,4.107,2092.014,"
"
2025-10-14 11:08:00.142858,22.808,58.796,605.324,4.107,2092.014,"
"
2025-10-14 11:09:00.169721,22.878,58.919,607.277,4.107,2087.674,"
"
2025-10-14 11:10:00.124633,22.882,59.028,607.277,4.107,2092.014,"
"
2025-10-14 11:11:00.189378,22.769,58.919,604.818,4.096,2090.567,"
"
2025-10-14 11:12:00.126836,22.747,59.024,607.277,4.107,2087.674,"
"
2025-10-14 11:13:00.105575,22.752,58.691,607.277,4.107,2087.674,"
"
2025-10-14 11:14:00.104300,22.808,58.590,607.277,4.107,2090.567,"
"
2025-10-14 11:15:00.186398,22.808,58.796,609.158,4.107,2092.014,"
"
2025-10-14 11:16:00.112246,22.808,59.429,614.728,4.107,2092.014,"
"
2025-10-14 11:17:00.108717,22.808,59.227,614.728,4.107,2092.014,"
"
2025-10-14 11:18:00.209977,22.808,59.227,614.800,4.096,2090.567,"
"
2025-10-14 11:19:00.115837,22.956,59.332,613.498,4.107,2090.567,"
"
2025-10-14 11:20:00.114932,22.808,59.122,612.268,4.107,2087.674,"
"
2025-10-14 11:21:00.112158,22.808,59.227,614.728,4.107,2087.674,"
"
2025-10-14 11:22:00.326142,22.808,59.125,617.188,4.096,2092.014,"
"
2025-10-14 11:23:00.110549,22.956,59.024,615.958,4.096,2090.567,"
"
2025-10-14 11:24:00.127792,22.956,58.793,614.728,4.086,2090.567,"
"
2025-10-14 11:25:00.117003,22.808,59.021,612.268,4.096,2092.014,"
"
2025-10-14 11:26:00.111462,22.808,58.695,609.809,4.086,2092.014,"
"
2025-10-14 11:27:00.113522,22.817,58.800,610.460,4.086,2092.014,"
"
2025-10-14 11:28:00.116154,22.843,59.028,614.728,4.096,2090.567,"
"
2025-10-14 11:29:00.114381,22.808,58.923,609.809,4.057,2090.567,"
"
2025-10-14 11:30:00.131746,22.808,58.923,612.268,4.066,2090.567,"
"
2025-10-14 11:31:00.193200,22.808,58.492,612.268,4.066,2090.567,"
"
2025-10-14 11:32:00.118067,22.951,58.388,612.268,4.077,2090.567,"
"
