DateTime,Temperature,Humidity,CO2,pH,EC,"
"
2025-10-28 00:00:00.141662,22.513,65.209,681.351,7.249,1960.359,"
"
2025-10-28 00:01:00.153316,22.656,64.732,678.892,7.269,1957.465,"
"
2025-10-28 00:02:00.156699,22.808,64.218,676.432,7.258,1957.465,"
"
2025-10-28 00:03:00.184889,22.938,65.108,671.513,7.249,1957.465,"
"
2025-10-28 00:04:00.124737,22.956,65.404,671.658,7.249,1960.359,"
"
2025-10-28 00:05:00.195555,22.956,65.842,671.513,7.249,1960.359,"
"
2025-10-28 00:06:00.137186,23.103,66.153,673.394,7.249,1957.465,"
"
2025-10-28 00:07:00.133840,23.103,66.424,669.054,7.249,1960.359,"
"
2025-10-28 00:08:00.109691,23.116,66.533,667.245,7.249,1960.359,"
"
2025-10-28 00:09:00.119049,23.251,66.536,669.054,7.269,1957.465,"
"
2025-10-28 00:10:00.108902,23.112,66.435,664.062,7.269,1960.359,"
"
2025-10-28 00:11:00.118325,23.251,66.428,666.594,7.269,1957.465,"
"
2025-10-28 00:12:00.126765,23.394,66.229,664.641,7.269,1957.465,"
"
2025-10-28 00:13:00.148609,23.459,66.063,663.845,7.269,1957.465,"
"
2025-10-28 00:14:00.141391,23.455,66.157,659.288,7.269,1957.465,"
"
2025-10-28 00:15:00.137026,23.546,65.951,659.143,7.269,1957.465,"
"
2025-10-28 00:16:00.116303,23.659,65.856,659.143,7.257,1960.359,"
"
2025-10-28 00:17:00.155938,23.694,65.864,656.756,7.269,1957.465,"
"
2025-10-28 00:18:01.306285,23.733,65.723,655.454,7.269,1957.465,"
"
2025-10-28 00:19:00.134874,23.845,65.621,654.224,7.269,1960.359,"
"
2025-10-28 00:20:00.132994,23.815,65.618,651.765,7.258,1960.359,"
"
2025-10-28 00:21:00.862922,23.989,65.531,654.224,7.249,1957.465,"
"
2025-10-28 00:22:00.143265,23.845,64.634,651.765,7.249,1957.465,"
"
2025-10-28 00:23:00.349969,23.694,63.719,649.523,7.249,1957.465,"
"
2025-10-28 00:24:00.117462,23.398,63.440,649.306,7.249,1957.465,"
"
2025-10-28 00:25:00.122818,23.247,63.234,649.306,7.249,1960.359,"
"
2025-10-28 00:26:00.951009,22.951,63.339,647.135,7.241,1960.359,"
"
2025-10-28 00:27:00.153636,22.956,63.343,649.306,6.246,1960.359,"
"
2025-10-28 00:28:00.134514,22.778,63.133,646.846,6.073,1957.465,"
"
2025-10-28 00:29:00.144236,22.656,63.028,644.821,5.982,1956.019,"
"
2025-10-28 00:30:00.144704,22.513,63.144,644.314,5.912,1960.359,"
"
2025-10-28 00:31:00.182725,22.509,63.343,646.846,5.874,1960.359,"
"
2025-10-28 00:32:00.126368,22.656,63.621,644.314,5.824,1960.359,"
"
2025-10-28 00:33:00.109243,22.656,63.914,644.893,5.793,1960.359,"
"
2025-10-28 00:34:00.117832,22.656,63.817,644.314,5.752,1960.359,"
"
2025-10-28 00:35:00.128617,22.509,64.330,644.314,5.712,1960.359,"
"
2025-10-28 00:36:00.121809,22.665,64.319,646.846,5.682,1960.359,"
"
2025-10-28 00:37:00.119253,22.656,64.529,644.314,5.672,1960.359,"
"
2025-10-28 00:38:00.125604,22.656,64.627,639.395,5.652,1960.359,"
"
2025-10-28 00:39:00.131762,22.747,64.536,636.936,5.623,1960.359,"
"
2025-10-28 00:40:01.187836,22.808,64.630,634.476,5.612,1960.359,"
"
2025-10-28 00:41:00.137193,22.804,64.829,634.404,5.602,1960.359,"
"
2025-10-28 00:42:00.116220,22.808,64.829,632.017,5.591,1960.359,"
"
2025-10-28 00:43:01.186969,22.808,64.840,632.017,5.562,1960.359,"
"
2025-10-28 00:44:00.125843,22.778,63.618,632.017,5.551,1960.359,"
"
2025-10-28 00:45:00.172979,22.808,63.437,636.357,5.542,1960.359,"
"
2025-10-28 00:46:00.109366,22.622,62.731,633.898,5.532,1960.359,"
"
2025-10-28 00:47:00.109034,22.370,62.735,629.557,5.512,1960.359,"
"
2025-10-28 00:48:00.112762,22.214,61.408,627.242,5.512,1960.359,"
"
2025-10-28 00:49:00.120967,22.066,62.294,627.677,6.858,1960.359,"
"
2025-10-28 00:50:01.186879,22.179,64.431,628.400,6.968,1960.359,"
"
2025-10-28 00:51:00.123808,22.214,65.104,627.026,7.019,1960.359,"
"
2025-10-28 00:52:00.159135,22.361,65.611,627.098,7.049,1960.359,"
"
2025-10-28 00:53:00.126662,22.496,66.146,627.098,7.049,1960.359,"
"
2025-10-28 00:54:00.135318,22.543,66.533,627.098,7.059,1957.465,"
"
2025-10-28 00:55:00.128443,22.656,67.039,627.098,7.069,1960.359,"
"
2025-10-28 00:56:00.370038,22.656,67.441,624.566,7.069,1960.359,"
"
2025-10-28 00:57:00.153474,22.656,67.614,627.098,6.908,1960.359,"
"
2025-10-28 00:58:00.138081,22.717,67.716,625.506,7.228,1960.359,"
"
2025-10-28 00:59:00.134865,22.656,67.618,626.157,7.241,1960.359,"
"
2025-10-28 01:00:00.136030,22.921,67.520,627.098,7.241,1960.359,"
"
2025-10-28 01:01:00.143308,22.956,67.242,627.098,7.248,1960.359,"
"
2025-10-28 01:02:00.151942,23.103,67.028,627.170,7.269,1957.465,"
"
2025-10-28 01:03:00.138201,23.186,66.837,627.242,7.268,1960.359,"
"
2025-10-28 01:04:00.109918,23.312,66.739,627.098,7.269,1960.359,"
"
2025-10-28 01:05:00.120631,23.398,66.529,622.323,7.269,1960.359,"
"
2025-10-28 01:06:00.119587,23.459,66.424,619.647,7.269,1960.359,"
"
2025-10-28 01:07:00.129653,23.403,66.218,617.188,7.269,1960.359,"
"
2025-10-28 01:08:00.115738,23.550,66.225,617.188,7.269,1963.252,"
"
2025-10-28 01:09:01.188344,23.546,66.153,617.477,7.269,1960.359,"
"
2025-10-28 01:10:00.140727,23.694,66.052,617.188,7.257,1960.359,"
"
2025-10-28 01:11:00.119844,23.637,66.142,612.268,7.258,1957.465,"
"
2025-10-28 01:12:00.131983,23.663,65.951,614.511,7.269,1960.359,"
"
2025-10-28 01:13:00.142916,23.919,66.048,614.728,7.258,1960.359,"
"
2025-10-28 01:14:00.153804,23.845,65.318,612.268,7.258,1960.359,"
"
2025-10-28 01:15:00.124715,23.663,64.019,611.328,7.257,1957.465,"
"
2025-10-28 01:16:00.150780,23.398,64.428,612.196,7.258,1957.465,"
"
2025-10-28 01:17:00.152957,23.251,64.525,609.737,7.258,1957.465,"
"
2025-10-28 01:18:00.142282,23.160,64.829,609.809,7.258,1957.465,"
"
2025-10-28 01:19:00.120074,23.103,65.213,608.507,7.257,1957.465,"
"
2025-10-28 01:20:00.129241,23.103,65.951,606.047,7.257,1960.359,"
"
2025-10-28 01:21:02.405740,23.103,66.323,604.818,7.258,1960.359,"
"
2025-10-28 01:22:00.188154,23.103,66.631,604.818,7.257,1960.359,"
"
2025-10-28 01:23:00.116740,23.129,66.739,604.528,7.257,1957.465,"
"
2025-10-28 01:24:00.140364,23.103,66.934,602.358,7.241,1957.465,"
"
2025-10-28 01:25:00.355122,23.251,66.222,599.899,7.241,1957.465,"
"
2025-10-28 01:26:00.122515,23.103,65.618,599.899,7.241,1957.465,"
"
2025-10-28 01:27:00.165707,22.956,65.115,599.754,7.241,1960.359,"
"
2025-10-28 01:28:00.129366,22.817,64.417,597.439,7.241,1960.359,"
"
2025-10-28 01:29:00.129367,22.656,64.630,597.439,7.209,1960.359,"
"
2025-10-28 01:30:00.176265,22.656,65.202,597.439,7.221,1954.572,"
"
2025-10-28 01:31:00.150557,22.452,64.330,597.584,7.221,1956.019,"
"
2025-10-28 01:32:00.138988,22.509,64.829,599.899,7.241,1956.019,"
"
2025-10-28 01:33:00.143425,22.361,64.999,597.439,6.437,1956.019,"
"
2025-10-28 01:34:00.150169,22.452,64.623,599.899,6.968,1957.465,"
"
2025-10-28 01:35:00.136530,22.361,64.424,599.899,6.938,1957.465,"
"
2025-10-28 01:36:00.120557,22.361,63.715,599.899,7.069,1960.359,"
"
2025-10-28 01:37:00.376270,22.214,63.133,599.899,6.768,1960.359,"
"
2025-10-28 01:38:00.142587,22.214,62.724,599.899,6.999,1960.359,"
"
2025-10-28 01:39:00.140621,22.066,62.616,600.911,6.866,1960.359,"
"
2025-10-28 01:40:01.193208,22.066,62.525,602.358,6.657,1956.019,"
"
2025-10-28 01:41:00.122604,22.066,62.623,604.528,6.899,1956.019,"
"
2025-10-28 01:42:00.124608,22.066,62.619,599.971,6.918,1956.019,"
"
2025-10-28 01:43:00.430054,22.066,62.619,602.358,6.878,1956.019,"
"
2025-10-28 01:44:00.145221,22.049,62.619,599.899,6.647,1960.359,"
"
2025-10-28 01:45:00.138290,22.010,62.294,599.899,6.797,1960.359,"
"
2025-10-28 01:46:00.121202,22.066,62.417,599.465,6.866,1960.359,"
"
2025-10-28 01:47:01.196289,22.066,62.109,597.439,6.979,1960.359,"
"
2025-10-28 01:48:00.140433,21.918,61.400,597.439,6.877,1960.359,"
"
2025-10-28 01:49:00.130989,21.910,62.015,597.439,6.777,1960.359,"
"
2025-10-28 01:50:00.129717,22.066,63.704,597.512,7.038,1960.359,"
"
2025-10-28 01:51:00.122162,22.066,64.533,596.209,6.938,1960.359,"
"
2025-10-28 01:52:00.118730,22.183,64.905,594.980,6.730,1960.359,"
"
2025-10-28 01:53:01.974727,22.214,65.412,592.520,6.716,1960.359,"
"
2025-10-28 01:54:00.135773,22.361,65.705,592.520,6.844,1963.252,"
"
2025-10-28 01:55:00.116539,22.361,66.041,592.520,6.667,1963.252,"
"
2025-10-28 01:56:00.123801,22.509,66.142,590.567,6.738,1964.699,"
"
2025-10-28 01:57:00.127007,22.648,66.424,592.520,6.608,1964.699,"
"
2025-10-28 01:58:00.120076,22.656,66.424,592.520,6.447,1964.699,"
"
2025-10-28 01:59:00.131038,22.808,66.428,595.558,7.257,1964.699,"
"
2025-10-28 02:00:00.144734,22.808,66.316,597.295,6.266,1960.359,"
"
2025-10-28 02:01:00.140822,22.808,66.222,594.980,6.887,1960.359,"
"
2025-10-28 02:02:00.141312,22.956,66.229,592.520,6.927,1960.359,"
"
2025-10-28 02:03:00.135778,23.095,66.146,594.980,6.948,1960.359,"
"
2025-10-28 02:04:00.116295,23.103,66.048,590.061,6.867,1960.359,"
"
2025-10-28 02:05:00.124165,23.251,65.943,591.001,6.986,1960.359,"
"
2025-10-28 02:06:00.127191,23.260,65.849,590.061,6.927,1960.359,"
"
2025-10-28 02:07:00.135377,23.251,65.849,589.844,6.968,1960.359,"
"
2025-10-28 02:08:00.130588,23.398,65.838,587.529,7.049,1960.359,"
"
2025-10-28 02:09:00.143703,23.546,65.719,585.069,6.979,1957.465,"
"
2025-10-28 02:10:00.108366,23.529,65.520,582.610,6.988,1960.359,"
"
2025-10-28 02:11:00.125475,23.546,65.614,584.563,7.028,1957.465,"
"
2025-10-28 02:12:00.123156,23.572,65.625,582.610,6.888,1960.359,"
"
2025-10-28 02:13:00.129043,23.546,65.625,580.151,7.019,1960.359,"
"
2025-10-28 02:14:01.302891,23.676,65.516,582.465,6.979,1960.359,"
"
2025-10-28 02:15:00.136994,23.663,65.618,580.151,6.918,1957.465,"
"
2025-10-28 02:16:00.165651,23.694,65.513,580.151,6.948,1957.465,"
"
2025-10-28 02:17:01.190903,23.811,65.520,577.691,6.979,1960.359,"
"
2025-10-28 02:18:00.140887,23.845,65.516,579.716,6.938,1960.359,"
"
2025-10-28 02:19:00.141204,23.733,65.516,573.351,6.938,1957.465,"
"
2025-10-28 02:20:00.156295,23.902,65.516,572.772,6.899,1957.465,"
"
2025-10-28 02:21:00.122687,23.845,65.516,570.312,6.938,1960.359,"
"
2025-10-28 02:22:00.315845,23.845,65.119,567.781,6.938,1957.465,"
"
2025-10-28 02:23:00.662003,23.694,63.921,570.312,6.578,1960.359,"
"
2025-10-28 02:24:00.128591,23.537,64.337,570.312,6.878,1960.359,"
"
2025-10-28 02:25:00.135192,23.251,64.641,570.312,6.918,1960.359,"
"
2025-10-28 02:26:00.135657,23.251,64.739,572.772,6.899,1957.465,"
"
2025-10-28 02:27:00.129941,23.121,65.422,572.772,6.878,1957.465,"
"
2025-10-28 02:28:00.125854,23.103,65.415,570.312,6.878,1957.465,"
"
2025-10-28 02:29:00.106903,23.103,65.111,570.312,6.899,1960.359,"
"
2025-10-28 02:30:00.338540,22.956,64.732,570.312,7.148,1957.465,"
"
2025-10-28 02:31:00.140500,22.895,64.540,570.312,6.183,1957.465,"
"
