DateTime,Temperature,Humidity,CO2,pH,EC,"
"
2025-10-15 12:13:00.142519,26.215,66.240,592.520,4.200,1808.449,"
"
2025-10-15 12:14:00.174779,26.215,66.547,590.061,4.188,1808.449,"
"
2025-10-15 12:15:00.136582,26.215,66.207,591.435,4.159,1808.449,"
"
2025-10-15 12:16:00.143421,26.207,66.446,590.061,4.159,1808.449,"
"
2025-10-15 12:17:00.120424,26.102,66.536,590.061,4.159,1808.449,"
"
2025-10-15 12:18:00.124254,26.124,66.547,590.567,4.159,1805.556,"
"
2025-10-15 12:19:00.390142,26.215,66.746,592.520,4.139,1808.449,"
"
2025-10-15 12:20:00.237012,26.215,66.750,592.520,4.139,1805.556,"
"
2025-10-15 12:21:00.162630,26.402,66.652,595.269,4.138,1808.449,"
"
2025-10-15 12:22:00.391683,26.215,66.070,597.439,4.138,1808.449,"
"
2025-10-15 12:23:00.334585,26.215,66.439,594.980,4.138,1808.449,"
"
2025-10-15 12:24:00.348180,26.215,66.066,597.439,4.139,1805.556,"
"
2025-10-15 12:25:00.111875,26.181,66.066,594.980,4.138,1808.449,"
"
2025-10-15 12:26:00.186804,26.215,65.976,596.499,4.139,1805.556,"
"
2025-10-15 12:27:00.220570,26.224,66.450,597.439,4.139,1808.449,"
"
2025-10-15 12:28:00.344803,26.276,66.645,597.439,4.128,1808.449,"
"
2025-10-15 12:29:00.295377,26.363,66.446,599.899,4.138,1808.449,"
"
2025-10-15 12:30:00.453746,26.363,66.251,599.899,4.138,1808.449,"
"
2025-10-15 12:31:00.390816,26.215,66.171,598.958,4.139,1808.449,"
"
2025-10-15 12:32:00.133994,26.224,66.066,602.358,4.139,1808.449,"
"
2025-10-15 12:33:00.146531,26.215,66.070,603.877,4.138,1808.449,"
"
2025-10-15 12:34:00.123924,26.419,65.965,604.818,4.138,1808.449,"
"
2025-10-15 12:35:00.282159,26.289,65.969,606.771,4.138,1808.449,"
"
2025-10-15 12:36:00.403166,26.215,66.073,607.422,4.138,1808.449,"
"
2025-10-15 12:37:00.110230,26.363,66.168,609.809,4.139,1808.449,"
"
2025-10-15 12:38:00.110053,26.215,66.171,609.664,4.138,1808.449,"
"
2025-10-15 12:39:00.110905,26.224,65.961,610.822,4.139,1808.449,"
"
2025-10-15 12:41:00.118065,26.215,66.063,612.268,4.139,1808.449,"
"
2025-10-15 12:42:00.117791,26.215,65.025,612.268,4.138,1808.449,"
"
2025-10-15 12:43:00.111554,26.215,64.927,612.268,4.138,1808.449,"
"
2025-10-15 12:44:00.622668,26.215,65.126,614.728,4.138,1805.556,"
"
2025-10-15 12:45:00.369198,26.215,63.241,616.753,4.147,1808.449,"
"
2025-10-15 12:46:00.122202,26.345,65.734,617.839,4.167,1808.449,"
"
2025-10-15 12:47:00.160193,26.215,63.932,614.728,4.180,1805.556,"
"
2025-10-15 12:48:00.177784,26.215,64.840,617.188,4.179,1827.257,"
"
2025-10-15 12:49:00.171787,26.246,65.538,617.188,4.188,1833.044,"
"
2025-10-15 12:50:00.195835,26.241,66.243,618.128,4.159,1837.384,"
"
2025-10-15 12:51:00.108113,26.215,66.446,617.188,4.158,1840.278,"
"
2025-10-15 12:52:00.373613,26.215,66.240,617.188,4.147,1840.278,"
"
2025-10-15 12:53:00.105709,26.220,66.341,619.647,4.159,1846.065,"
"
2025-10-15 12:54:00.146184,26.224,66.446,621.600,4.147,1841.724,"
"
2025-10-15 12:55:00.118796,26.215,66.750,619.647,4.147,1841.724,"
"
2025-10-15 12:56:00.114286,26.215,66.649,619.647,4.147,1844.618,"
"
2025-10-15 12:57:00.139726,26.215,65.954,620.226,4.158,1841.724,"
"
2025-10-15 12:58:00.162993,26.102,62.746,620.081,4.158,1841.724,"
"
2025-10-15 12:59:00.146521,26.228,62.240,619.647,4.159,1841.724,"
"
2025-10-15 13:00:00.112915,26.215,61.328,622.107,4.158,1846.065,"
"
2025-10-15 13:01:00.141994,26.220,61.325,622.107,4.158,1841.724,"
"
2025-10-15 13:02:00.134609,26.363,64.243,624.566,4.180,1841.724,"
"
2025-10-15 13:03:00.355408,26.341,63.553,624.566,4.180,1838.831,"
"
2025-10-15 13:04:00.200447,26.215,62.540,622.107,4.180,1837.384,"
"
2025-10-15 13:05:00.165783,26.215,63.451,624.566,4.180,1833.044,"
"
2025-10-15 13:06:00.117923,26.215,62.844,624.566,4.159,1837.384,"
"
2025-10-15 13:07:00.168398,26.215,65.126,627.026,4.180,1834.491,"
"
2025-10-15 13:08:00.116334,26.215,63.350,625.796,4.167,1837.384,"
"
2025-10-15 13:09:00.110445,26.363,66.164,627.098,4.167,1837.384,"
"
2025-10-15 13:10:00.112411,26.393,66.439,629.557,4.159,1840.278,"
"
2025-10-15 13:11:00.115712,26.510,65.867,632.017,4.158,1844.618,"
"
2025-10-15 13:12:00.157143,26.363,66.446,629.557,4.147,1841.724,"
"
2025-10-15 13:13:00.117200,26.215,63.556,632.017,4.147,1844.618,"
"
2025-10-15 13:14:00.111987,26.228,65.632,632.017,4.158,1841.724,"
"
2025-10-15 13:15:00.135088,26.215,64.648,632.017,4.147,1846.065,"
"
2025-10-15 13:16:00.107360,26.215,66.540,632.017,4.147,1841.724,"
"
2025-10-15 13:17:00.121702,26.289,66.247,634.476,4.147,1846.065,"
"
2025-10-15 13:18:00.121053,26.215,66.540,634.476,4.147,1866.319,"
"
2025-10-15 13:19:00.106135,26.510,67.061,639.251,4.147,1861.979,"
"
2025-10-15 13:20:00.111736,26.215,66.540,636.936,4.167,1860.532,"
"
2025-10-15 13:21:00.132639,26.215,67.050,639.395,4.180,1869.213,"
"
2025-10-15 13:22:00.139610,26.233,67.159,639.395,4.188,1870.660,"
"
2025-10-15 13:23:00.114948,26.354,67.155,639.395,4.209,1869.213,"
"
2025-10-15 13:24:00.111217,26.233,67.155,641.855,4.208,1869.213,"
"
2025-10-15 13:25:00.145425,26.215,67.050,641.855,4.200,1867.766,"
"
2025-10-15 13:27:00.109520,26.363,67.260,644.314,4.188,1869.213,"
"
2025-10-15 13:28:00.334400,26.345,67.357,643.084,4.179,1869.213,"
"
2025-10-15 13:29:00.121090,26.215,67.354,641.855,4.180,1867.766,"
"
2025-10-15 13:30:00.121696,26.215,66.952,641.855,4.180,1870.660,"
"
2025-10-15 13:31:00.119160,26.272,67.462,641.855,4.189,1876.447,"
"
2025-10-15 13:32:00.119632,26.215,65.629,641.855,4.189,1877.894,"
"
2025-10-15 13:33:00.116274,26.215,66.450,641.855,4.188,1877.894,"
"
2025-10-15 13:34:00.356633,26.215,64.442,641.855,4.189,1875.000,"
"
2025-10-15 13:35:00.467421,26.185,63.245,639.395,4.188,1870.660,"
"
2025-10-15 13:36:00.865637,26.215,66.442,639.395,4.179,1870.660,"
"
2025-10-15 13:37:00.349128,26.363,64.648,636.936,4.179,1875.000,"
"
2025-10-15 13:38:00.104691,26.215,61.223,636.936,4.188,1875.000,"
"
2025-10-15 13:39:00.113813,26.215,64.648,634.476,4.188,1873.553,"
"
2025-10-15 13:40:00.800626,26.215,63.932,634.476,4.189,1870.660,"
"
2025-10-15 13:41:00.137135,26.215,61.759,632.017,4.188,1875.000,"
"
2025-10-15 13:42:00.163211,26.215,62.030,632.017,4.188,1875.000,"
"
2025-10-15 13:43:00.120634,26.363,64.840,632.017,4.188,1875.000,"
"
2025-10-15 13:44:00.127081,26.445,60.843,634.476,4.188,1875.000,"
"
2025-10-15 13:45:00.108056,26.215,62.648,632.017,4.188,1875.000,"
"
2025-10-15 13:46:00.199995,26.363,61.730,631.076,4.188,1870.660,"
"
2025-10-15 13:47:00.113144,26.363,65.430,629.557,4.180,1870.660,"
"
2025-10-15 13:48:00.128038,26.367,66.240,630.787,4.158,1870.660,"
"
2025-10-15 13:49:00.179500,26.215,64.439,629.485,4.128,1889.468,"
"
2025-10-15 13:50:00.164358,26.215,66.649,629.557,4.147,1889.468,"
"
2025-10-15 13:51:00.172180,26.215,66.750,629.557,4.147,1896.701,"
"
2025-10-15 13:52:00.472114,26.246,67.151,629.630,4.167,1899.595,"
"
2025-10-15 13:53:00.199148,26.363,68.045,631.800,4.208,1899.595,"
"
2025-10-15 13:55:00.947726,26.215,68.349,629.557,4.228,1896.701,"
"
2025-10-15 13:56:00.190074,26.215,68.254,629.557,4.267,1896.701,"
"
2025-10-15 13:57:00.191918,26.215,68.045,629.557,4.269,1899.595,"
"
2025-10-15 13:58:00.474482,26.224,68.247,629.557,4.289,1899.595,"
"
2025-10-15 13:59:00.190260,26.328,67.936,629.557,4.289,1896.701,"
"
2025-10-15 14:00:00.514329,26.215,68.041,629.557,4.289,1903.935,"
"
2025-10-15 14:01:00.191009,26.363,68.150,632.017,4.289,1899.595,"
"
2025-10-15 14:02:00.192655,26.354,68.048,631.366,4.305,1899.595,"
"
2025-10-15 14:03:00.172071,26.215,67.947,629.557,4.316,1896.701,"
"
2025-10-15 14:04:00.203102,26.215,67.835,629.557,4.316,1898.148,"
"
2025-10-15 14:05:00.159045,26.215,68.041,629.557,4.316,1898.148,"
"
2025-10-15 14:06:00.892219,26.246,68.037,629.485,4.316,1898.148,"
"
2025-10-15 14:07:00.104808,26.276,67.737,627.242,4.316,1898.148,"
"
2025-10-15 14:08:00.119900,26.289,67.636,629.557,4.317,1902.489,"
"
2025-10-15 14:09:00.112886,26.363,67.636,629.557,4.338,1898.148,"
"
2025-10-15 14:10:00.184330,26.363,67.741,629.557,4.338,1899.595,"
"
2025-10-15 14:11:00.123627,26.228,67.459,627.098,4.338,1902.489,"
"
2025-10-15 14:12:00.917115,26.233,67.462,627.677,4.338,1899.595,"
"
2025-10-15 14:13:00.119438,26.215,67.256,627.098,4.338,1899.595,"
"
2025-10-15 14:14:00.139438,26.215,66.649,627.098,4.329,1899.595,"
"
2025-10-15 14:15:00.347739,26.215,67.350,627.098,4.316,1899.595,"
"
2025-10-15 14:16:00.333838,26.215,67.452,627.098,4.316,1899.595,"
"
2025-10-15 14:17:00.115659,26.215,67.452,626.447,4.316,1899.595,"
"
2025-10-15 14:18:00.131649,26.363,67.260,627.098,4.316,1899.595,"
"
2025-10-15 14:19:00.108150,26.289,67.466,624.711,4.316,1902.489,"
"
2025-10-15 14:20:00.216034,26.272,67.354,627.098,4.289,1916.956,"
"
2025-10-15 14:21:00.120764,26.215,67.535,627.098,4.289,1914.062,"
"
2025-10-15 14:22:00.571364,26.228,67.636,626.591,4.289,1918.403,"
"
2025-10-15 14:23:00.124831,26.215,67.636,625.145,4.287,1921.296,"
"
2025-10-15 14:24:00.345946,26.215,65.339,624.566,4.316,1918.403,"
"
2025-10-15 14:25:00.343679,26.363,65.632,625.506,4.309,1921.296,"
"
2025-10-15 14:26:00.155019,26.363,62.945,627.098,4.309,1921.296,"
"
2025-10-15 14:27:00.131620,26.354,65.122,626.808,4.309,1921.296,"
"
2025-10-15 14:28:00.107516,26.215,63.730,624.421,4.317,1919.849,"
"
2025-10-15 14:29:00.121049,26.215,65.025,622.107,4.309,1918.403,"
"
2025-10-15 14:30:00.794663,26.224,66.341,623.987,4.309,1918.403,"
"
2025-10-15 14:31:00.122666,26.215,66.345,622.107,4.309,1921.296,"
"
2025-10-15 14:32:00.125916,26.215,65.961,622.107,4.309,1919.849,"
"
2025-10-15 14:33:00.171876,26.215,66.851,622.107,4.309,1921.296,"
"
2025-10-15 14:34:00.111347,26.233,67.256,622.685,4.309,1918.403,"
"
2025-10-15 14:35:00.122094,26.363,67.151,624.566,4.309,1918.403,"
"
2025-10-15 14:36:00.325623,26.215,67.462,619.647,4.289,1918.403,"
"
2025-10-15 14:37:00.135230,26.215,67.459,619.647,4.297,1918.403,"
"
2025-10-15 14:38:00.112410,26.220,67.253,622.107,4.289,1918.403,"
"
2025-10-15 14:39:00.126142,26.215,67.538,622.107,4.289,1921.296,"
"
2025-10-15 14:40:00.362127,26.215,67.354,622.107,4.289,1921.296,"
"
2025-10-15 14:41:00.140531,26.215,67.632,619.647,4.269,1927.083,"
"
2025-10-15 14:42:00.113848,26.215,64.739,622.107,4.269,1921.296,"
"
2025-10-15 14:43:00.110716,26.363,67.357,624.566,4.269,1921.296,"
"
2025-10-15 14:44:00.099644,26.289,67.054,622.034,4.229,1921.296,"
"
2025-10-15 14:45:00.106972,26.215,66.952,620.877,4.229,1921.296,"
"
2025-10-15 14:46:00.136476,26.137,67.054,619.647,4.229,1927.083,"
"
2025-10-15 14:47:00.112621,26.215,65.860,621.962,4.229,1924.190,"
"
2025-10-15 14:48:00.110865,26.072,65.535,619.647,4.229,1924.190,"
"
2025-10-15 14:49:00.116276,26.215,62.952,619.647,4.229,1924.190,"
"
2025-10-15 14:50:00.126578,26.228,66.168,619.647,4.208,1927.083,"
"
2025-10-15 14:51:00.350055,26.363,66.345,622.107,4.200,1928.530,"
"
2025-10-15 14:52:00.127217,26.354,65.741,621.817,4.188,1932.870,"
"
2025-10-15 14:53:00.157224,26.215,65.734,619.647,4.200,1935.764,"
"
2025-10-15 14:54:00.109174,26.215,65.231,619.647,4.208,1935.764,"
"
2025-10-15 14:55:00.139326,26.215,67.054,619.647,4.229,1935.764,"
"
2025-10-15 14:56:00.125549,26.363,67.535,619.647,4.228,1935.764,"
"
2025-10-15 14:57:00.108303,26.363,67.737,619.647,4.228,1935.764,"
"
2025-10-15 14:58:00.329207,26.215,67.148,619.647,4.229,1935.764,"
"
2025-10-15 14:59:00.904592,26.215,67.636,619.647,4.228,1934.317,"
"
2025-10-15 15:00:00.120705,26.363,67.741,622.107,4.229,1935.764,"
"
2025-10-15 15:01:00.306546,26.363,67.752,622.613,4.249,1935.764,"
"
2025-10-15 15:02:00.556247,26.363,67.741,619.647,4.249,1935.764,"
"
2025-10-15 15:03:00.115438,26.363,67.730,619.647,4.248,1934.317,"
"
2025-10-15 15:04:00.369817,26.363,67.636,619.647,4.249,1934.317,"
"
2025-10-15 15:05:00.132909,26.363,67.636,618.345,4.249,1934.317,"
"
2025-10-15 15:06:00.140158,26.363,67.846,619.647,4.249,1934.317,"
"
2025-10-15 15:07:00.121428,26.363,67.839,618.128,4.249,1935.764,"
"
2025-10-15 15:08:00.353353,26.510,67.842,621.745,4.229,1934.317,"
"
2025-10-15 15:09:00.125299,26.363,67.947,619.647,4.229,1935.764,"
"
